customer_id,gender,birth_year
169212,female,1980.0
174861,female,1969.0
198521,male,1978.0
206454,male,1965.0
218494,male,1959.0
247866,female,1970.0
251259,male,1977.0
302384,male,1967.0
306612,male,1989.0
322933,male,1970.0
325521,female,1962.0
330557,male,1977.0
341337,male,1971.0
348880,female,1946.0
370966,female,1949.0
378800,female,1958.0
379295,male,1957.0
411538,male,1978.0
426832,female,1964.0
436199,female,1978.0
454613,female,1951.0
455292,female,1967.0
477441,female,1985.0
486535,male,1983.0
487508,male,1972.0
536567,female,1981.0
537471,male,1993.0
584454,male,1994.0
588131,male,1988.0
591357,male,1987.0
597928,female,1957.0
631935,female,1962.0
649751,male,1987.0
680231,male,1997.0
692548,male,1982.0
708470,,
721642,male,1971.0
724319,male,1989.0
731202,male,1972.0
742413,male,1983.0
753968,female,1965.0
755334,male,1980.0
767933,male,1981.0
769752,male,1993.0
773926,male,1978.0
799591,male,1990.0
828968,male,1985.0
845767,male,1971.0
845877,male,1951.0
849698,male,1963.0
861008,female,1964.0
863006,female,1982.0
887057,female,1981.0
926789,male,1987.0
938175,male,1993.0
940232,male,1970.0
958948,male,1965.0
982839,male,1956.0
987351,female,1996.0
996523,male,1963.0
1003286,male,1993.0
1034727,male,1981.0
1036529,female,1941.0
1060208,,
1075933,female,1970.0
1077309,female,1982.0
1090525,female,1981.0
1107286,male,1984.0
1118163,female,1996.0
1121443,female,1949.0
1152503,female,1996.0
1154162,female,1990.0
1172354,male,1991.0
1193552,female,1973.0
1224450,male,1992.0
1274255,female,1995.0
1294738,male,1988.0
1302128,male,1998.0
1305556,,
1323222,female,1955.0
1329098,male,1997.0
1332185,female,1990.0
1344945,male,1990.0
1361010,male,1971.0
175028,female,1979.0
201896,male,1956.0
229350,female,1981.0
235823,male,1971.0
246107,male,1969.0
285226,male,1962.0
332281,male,1962.0
352226,female,1984.0
367239,female,1987.0
386417,female,1987.0
409710,male,1971.0
430191,male,1963.0
491172,female,1972.0
491703,female,1965.0
494913,female,1976.0
511285,female,1995.0
517200,female,1989.0
543765,female,1956.0
557305,female,1995.0
