gender,birth_year,jan_1,jan_2,jan_3,jan_4,feb_1,feb_2,feb_3,feb_4,mar_1,mar_2,mar_3,mar_4,apr_1,apr_2,apr_3,apr_4,may_1,may_2,may_3,may_4,jun_1,jun_2,jun_3,jun_4,jul_1,jul_2,jul_3,jul_4,aug_1,aug_2,aug_3,aug_4,sep_1,sep_2,sep_3,sep_4,oct_1,oct_2,oct_3,oct_4,nov_1,nov_2,nov_3,nov_4,dec_1,dec_2,dec_3,dec_4,churn_1,churn_2,churn_3,churn_4,churn_5,churn_6,churn_7,churn_8,churn_9,churn_10,dec_churn
female,1980.0,100.0,0.0,2462.14,1.0,100.0,0.0,9062.05,4.0,3254.98,2.0,5518.48,3.0,100.0,0.0,7666.06,3.0,2965.0,1.0,11725.0,5.0,1850.5,1.0,3289.29,2.0,100.0,0.0,10144.0,5.0,1673.5,1.0,10788.04,6.0,2689.0,1.0,3503.5,2.0,3394.0,2.0,13451.4,5.0,2564.5,1.0,4102.3,3.0,3809.5,1.0,10702.63,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
female,1969.0,1013.2,1.0,22446.49,11.0,100.0,0.0,24626.89,6.0,1075.0,1.0,7176.28,5.0,485.5,1.0,5927.34,6.0,100.0,0.0,24055.84,5.0,1615.0,1.0,19162.17,6.0,532.0,1.0,6664.32,5.0,1522.87,2.0,13654.42,6.0,3692.77,4.0,8590.99,7.0,988.63,1.0,11502.36,5.0,10917.7,2.0,31705.89,10.0,100.0,0.0,12929.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
male,1978.0,100.0,0.0,3835.42,2.0,100.0,0.0,3589.0,1.0,100.0,0.0,382.3,1.0,1750.0,1.0,5155.0,2.0,1515.69,2.0,5623.27,5.0,2024.49,2.0,8326.42,6.0,711.22,1.0,8016.45,5.0,0.0,0.0,0.0,0.0,1912.72,3.0,2705.61,5.0,2202.34,2.0,12921.95,9.0,4174.96,3.0,5674.42,4.0,4715.82,1.0,9649.65,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
male,1965.0,7098.43,3.0,20802.93,11.0,14669.74,5.0,24796.17,12.0,9775.42,3.0,21909.18,11.0,6326.55,4.0,12711.84,8.0,8520.41,4.0,19601.31,10.0,6703.08,3.0,19854.3,8.0,14838.76,4.0,20510.38,7.0,11223.47,4.0,18375.48,9.0,7426.93,3.0,12358.57,7.0,4502.08,3.0,13348.62,7.0,5270.68,3.0,12738.51,7.0,3477.1,1.0,11082.06,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
female,1970.0,23454.1,3.0,24391.48,4.0,29679.11,4.0,40398.93,8.0,28088.17,4.0,31922.59,5.0,24035.94,3.0,29006.94,4.0,33154.02,4.0,35010.66,6.0,36074.59,4.0,42688.39,6.0,25446.36,3.0,30348.5,5.0,33923.67,5.0,37694.01,7.0,41593.8,6.0,45824.62,8.0,34801.45,6.0,41820.01,10.0,34012.12,5.0,41302.57,8.0,43547.7,5.0,48900.76,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
male,1967.0,0.0,0.0,0.0,0.0,100.0,0.0,640.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,856.51,1.0,992.26,1.0,992.26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.64,1.0,555.64,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
male,1989.0,559.0,1.0,1156.0,3.0,652.0,1.0,652.0,1.0,947.5,1.0,2365.0,2.0,760.0,1.0,760.0,1.0,0.0,0.0,0.0,0.0,775.0,1.0,1255.0,2.0,100.0,0.0,2725.75,2.0,100.0,0.0,775.0,1.0,1225.0,1.0,3035.5,3.0,1553.5,1.0,1553.5,1.0,100.0,0.0,1211.5,1.0,2315.5,3.0,3346.15,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
male,1970.0,0.0,0.0,0.0,0.0,100.0,0.0,490.0,1.0,100.0,0.0,6832.2,5.0,1682.5,1.0,14316.45,2.0,100.0,0.0,8613.52,2.0,100.0,0.0,652.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,1192.0,1.0,100.0,0.0,7605.4,6.0,0.0,0.0,0.0,0.0,100.0,0.0,538.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
female,1962.0,1631.86,2.0,54828.06,7.0,4186.0,2.0,48178.83,8.0,58818.28,5.0,80847.46,9.0,100.0,0.0,34497.25,7.0,23350.99,3.0,49295.44,9.0,24799.09,3.0,42684.31,9.0,46970.91,4.0,55678.98,9.0,8065.33,4.0,40203.25,8.0,9370.15,1.0,19337.01,13.0,1285.0,3.0,13605.04,7.0,2339.95,1.0,7205.59,3.0,1694.5,1.0,18076.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
male,1971.0,25491.58,2.0,32702.68,29.0,38648.62,3.0,46827.16,24.0,75186.94,4.0,81241.86,25.0,100.0,0.0,8882.74,25.0,2565.07,5.0,62262.77,27.0,4395.91,3.0,50889.94,11.0,46152.55,5.0,53399.98,14.0,6083.95,4.0,61240.54,12.0,51694.3,2.0,58711.41,9.0,3601.45,2.0,60751.18,10.0,50350.51,4.0,59336.22,11.0,2109.22,6.0,67291.53,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
female,1946.0,0.0,0.0,0.0,0.0,100.0,0.0,18520.9,2.0,100.0,0.0,2801.62,1.0,100.0,0.0,18666.9,1.0,24072.61,2.0,38137.45,4.0,100.0,0.0,9616.18,3.0,100.0,0.0,16441.39,3.0,100.0,0.0,44177.17,3.0,0.0,0.0,0.0,0.0,10180.89,1.0,31409.35,3.0,7465.34,1.0,7465.34,1.0,932.14,1.0,52717.09,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
male,1957.0,1969.27,2.0,2819.89,4.0,100.0,0.0,1912.27,1.0,100.0,0.0,655.0,1.0,100.0,0.0,7503.31,5.0,100.0,0.0,3784.42,1.0,1211.5,1.0,3371.5,3.0,100.0,0.0,1504.0,1.0,7792.81,2.0,8984.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2542.0,2.0,4918.0,6.0,1223.5,1.0,3408.79,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
male,1978.0,5833.42,1.0,5833.42,1.0,7973.72,1.0,14317.22,4.0,5834.31,3.0,5834.31,3.0,2109.6,1.0,2109.6,1.0,10244.34,2.0,13447.35,3.0,20276.8,3.0,20276.8,3.0,5853.48,1.0,5853.48,1.0,6006.19,1.0,10011.46,3.0,9604.14,2.0,13031.99,3.0,6721.34,1.0,12617.76,2.0,100.0,0.0,4612.36,1.0,100.0,0.0,11091.78,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
female,1978.0,100.0,0.0,19241.97,9.0,100.0,0.0,21136.96,10.0,3220.75,3.0,9203.94,7.0,3304.81,2.0,15128.79,6.0,100.0,0.0,11326.66,3.0,3261.34,1.0,29058.52,9.0,2859.07,2.0,30364.84,11.0,8919.67,2.0,38177.59,11.0,3374.65,2.0,22411.75,7.0,1662.64,1.0,18403.18,10.0,392.5,1.0,15183.7,6.0,27240.19,4.0,38716.81,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
female,1951.0,5057.5,1.0,5057.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,3593.71,2.0,100.0,0.0,6492.49,1.0,100.0,0.0,3939.63,1.0,2144.89,1.0,2144.89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1723.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
female,1967.0,624.34,1.0,624.34,1.0,0.0,0.0,0.0,0.0,100.0,0.0,497.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,925.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
female,1985.0,0.0,0.0,0.0,0.0,3280.0,1.0,3355.0,2.0,100.0,0.0,542.5,3.0,100.0,0.0,190.0,1.0,100.0,0.0,1013.5,3.0,505.0,2.0,685.0,3.0,1420.0,3.0,4975.0,6.0,0.0,0.0,0.0,0.0,100.0,0.0,2009.5,1.0,0.0,0.0,0.0,0.0,100.0,0.0,1600.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
male,1983.0,940.0,1.0,21602.71,4.0,5112.28,2.0,10118.38,4.0,5269.32,1.0,10441.91,2.0,100.0,0.0,17450.08,2.0,5731.93,1.0,7808.93,2.0,1070.5,1.0,1220.5,2.0,1231.0,1.0,3526.84,2.0,902.5,1.0,902.5,1.0,1057.9,1.0,5619.7,4.0,2734.42,1.0,5358.48,2.0,100.0,0.0,18392.91,5.0,3395.79,1.0,8878.29,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
female,1981.0,100.0,0.0,531.47,1.0,100.0,0.0,1696.05,1.0,100.0,0.0,1582.0,1.0,10193.66,1.0,10941.45,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,1.0,160.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
male,1988.0,2871.81,1.0,8763.58,5.0,1861.72,1.0,4062.22,2.0,3478.51,2.0,11435.43,6.0,4598.88,3.0,9684.46,5.0,6530.86,2.0,17008.03,10.0,2194.0,1.0,6176.7,4.0,3835.93,1.0,3835.93,1.0,19350.2,5.0,19350.2,5.0,9470.92,4.0,9470.92,4.0,9144.19,3.0,9144.19,3.0,7400.8,2.0,7400.8,2.0,2324.26,2.0,6663.99,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
female,1957.0,5846.56,4.0,13740.88,6.0,10832.62,4.0,11590.12,5.0,2425.45,1.0,8543.83,4.0,100.0,0.0,10328.76,5.0,100.0,0.0,14808.82,3.0,5936.91,1.0,13780.27,3.0,2366.25,2.0,18189.64,6.0,8504.38,2.0,26834.67,7.0,1402.59,1.0,13161.45,4.0,5790.34,2.0,25721.94,5.0,100.0,0.0,14516.24,2.0,18183.58,2.0,21915.57,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
female,1962.0,655.81,1.0,11003.52,5.0,7485.33,3.0,9409.27,5.0,2054.38,1.0,6532.36,3.0,2125.75,1.0,10748.86,3.0,100.0,0.0,5256.22,2.0,100.0,0.0,490.0,1.0,1368.19,1.0,3428.59,2.0,100.0,0.0,2171.37,2.0,1217.5,1.0,1217.5,1.0,100.0,0.0,3096.27,2.0,100.0,0.0,10671.81,2.0,2304.01,1.0,5523.13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
