customer_id,gender,birth_year,jan_1,jan_2,jan_3,jan_4,feb_1,feb_2,feb_3,feb_4,mar_1,mar_2,mar_3,mar_4,apr_1,apr_2,apr_3,apr_4,may_1,may_2,may_3,may_4,jun_1,jun_2,jun_3,jun_4,jul_1,jul_2,jul_3,jul_4,aug_1,aug_2,aug_3,aug_4,sep_1,sep_2,sep_3,sep_4,oct_1,oct_2,oct_3,oct_4,nov_1,nov_2,nov_3,nov_4,dec_1,dec_2,dec_3,dec_4,churn_1,churn_2,churn_3,churn_4,churn_5,churn_6,churn_7,churn_8,churn_9,churn_10,dec_churn
169212,female,1980.0,1548.25,1.0,1548.25,1.0,7043.95,3.0,10651.45,4.0,100.0,0.0,6072.25,3.0,100.0,0.0,7035.25,2.0,8994.25,2.0,10173.41,3.0,100.0,0.0,4051.0,2.0,2768.5,4.0,11046.31,7.0,6858.84,3.0,13757.62,7.0,1567.0,1.0,6524.5,3.0,5602.39,2.0,5602.39,2.0,2192.98,1.0,3218.98,2.0,100.0,0.0,9095.98,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174861,female,1969.0,13720.89,5.0,27913.78,18.0,100.0,0.0,1363.0,2.0,8548.12,4.0,16887.7,12.0,1570.0,2.0,12472.09,7.0,1654.84,2.0,14786.88,10.0,1819.51,2.0,21662.29,10.0,19340.47,6.0,35957.07,15.0,6137.52,7.0,23421.52,14.0,1435.0,3.0,5318.91,6.0,2210.77,1.0,10663.0,6.0,2144.77,3.0,10330.95,13.0,1160.14,1.0,11453.76,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198521,male,1978.0,1000.0,1.0,5843.55,7.0,100.0,0.0,2196.18,3.0,4047.46,1.0,4216.21,2.0,838.48,2.0,3367.63,4.0,100.0,0.0,4748.38,4.0,1479.43,2.0,2308.75,3.0,100.0,0.0,3389.27,1.0,100.0,0.0,2658.97,2.0,100.0,0.0,7234.3,4.0,100.0,0.0,5687.2,3.0,265.0,1.0,8535.37,7.0,573.07,1.0,4636.57,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206454,male,1965.0,3955.39,1.0,4508.89,2.0,8289.69,2.0,17712.09,5.0,4912.86,3.0,12607.99,7.0,2405.85,3.0,8969.85,8.0,14878.7,5.0,19764.06,10.0,18703.36,5.0,23664.22,12.0,15433.6,4.0,18633.85,7.0,13803.32,5.0,18280.61,9.0,8741.77,2.0,15240.04,8.0,10408.74,5.0,21473.71,13.0,10059.37,3.0,20823.86,11.0,8665.74,4.0,15442.53,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218494,male,1959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5469.16,1.0,5469.16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,8516.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6671.83,1.0,11993.29,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
247866,female,1970.0,26749.35,4.0,27643.69,5.0,29058.32,4.0,29058.32,4.0,23377.36,3.0,23377.36,3.0,26432.36,3.0,34151.91,5.0,20300.26,3.0,32999.11,6.0,34762.08,5.0,36782.67,6.0,35948.89,5.0,37181.89,6.0,35418.42,5.0,37545.12,6.0,34854.85,6.0,37201.42,7.0,29979.13,4.0,33258.58,7.0,37817.91,5.0,48795.81,11.0,31033.72,5.0,31033.72,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251259,male,1977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
302384,male,1967.0,100.0,0.0,1948.07,4.0,100.0,0.0,727.0,1.0,100.0,0.0,187.0,1.0,1254.42,3.0,1560.78,4.0,0.0,0.0,0.0,0.0,662.52,1.0,1205.67,3.0,925.0,1.0,2190.06,4.0,100.0,0.0,905.07,2.0,1602.48,1.0,2233.99,3.0,0.0,0.0,0.0,0.0,742.66,1.0,900.91,2.0,1134.82,1.0,1134.82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306612,male,1989.0,0.0,0.0,0.0,0.0,340.0,1.0,340.0,1.0,0.0,0.0,0.0,0.0,1150.0,1.0,1941.25,2.0,100.0,0.0,1837.75,1.0,100.0,0.0,415.0,1.0,475.0,1.0,475.0,1.0,2020.3,2.0,2020.3,2.0,2766.01,4.0,2766.01,4.0,370.0,1.0,684.7,2.0,100.0,0.0,3200.89,1.0,1510.0,1.0,2741.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322933,male,1970.0,3479.5,1.0,7806.37,5.0,100.0,0.0,2482.84,3.0,100.0,0.0,3900.25,3.0,100.0,0.0,21320.02,4.0,100.0,0.0,2950.0,1.0,100.0,0.0,1165.0,2.0,100.0,0.0,5317.36,5.0,100.0,0.0,1960.0,1.0,100.0,0.0,7142.92,4.0,100.0,0.0,2255.5,2.0,100.0,0.0,5083.06,2.0,100.0,0.0,3755.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
